Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
4002,Category'B' (Wayside),,30,,,,,,,-99
4100,Gold Dealers,,,,,,,,,-99
4101,Agent,,500,,,,,,,-99
4102,Buyers,,300,,,,,,,-99
4201,Goldsmiths,,30,,,,,,,-99
4300,General Electric/Electronic Shop,,,,,,,,,-99
4301,Category 'A' (SS Elect),,100,,,,,,,-99
4302,Category 'B',,30,,,,,,,-99
4303,Category 'C' (Rewinding),,20,,,,,,,-99
4304,         Category 'A'  - (eg.& Owusu Home Stores),,50,,,,,,,-99
4305,         Category 'B' ( Second Hand Shop),,30,,,,,,,-99
4306,Radio/Electonic repairers ,,15,,,,,,,-99
4400,Hair Dressing Saloons,,,,,,,,,-99
4401,Category 'A' ,,15,,,,,,,-99
4500,Hotels,,,,,,,,,-99
4501,Category 'A' (3 Star Hilda),,1200,,,,,,,-99
4502,Category 'B' (2 Star eg.  Lynka& Tamso Lodge),,800,,,,,,,-99
4503,Category 'C' ( eg Peace& Adom& etc.),,250,,,,,,,-99
4504,Category 'D' (Guest Houses),,150,,,,,,,-99
4505,Hostel Operators  Cat A,,90,,,,,,,-99
4506,Hostel Operators  Cat B,,40,,,,,,,-99
4601,Ice Cream/Lolly Distributor (eg. Fan Ice),,30,,,,,,,-99
4701,Importers (General Merchant),,30,,,,,,,-99
4800,Industrial/Service Companies,,,,,,,,,-99
4801,"Category ""a"" (eg. AMS& Moolmans etc.)",,7000,,,,,,,-99
4802,Category 'B' (Drilling Explosive Cos:St Lambert T & E),,4500,,,,,,,-99
4803,Category 'C' (Atlas Corpco&Liebher&G5&Barbex&Banlaw),,3500,,,,,,,-99
4804,Category 'D' (eg.Antrak&Liner& Crown Resources&etc),,2700,,,,,,,-99
4805,Category 'E' (Indegenous Mining Service),,900,,,,,,,-99
4806,Category F (Steel Dealers),,900,,,,,,,-99
4900,Industrial Laboratory,,,,,,,,,-99
4901,Category 'A' (Large Scale eg. SGS),,1800,,,,,,,-99
4902,Category 'B' (Medium Scale eg. Baysfield& Transworld),,1300,,,,,,,-99
5000,Internet Services,,,,,,,,,-99
5001,Category 'A'  5 or Less Machines,,25,,,,,,,-99
5002,Category 'B'  6 - 10 Machines,,30,,,,,,,-99
5003,Category 'C'  Above 10 Machines,,40,,,,,,,-99
5101,Key Cutters,,20,,,,,,,-99
5201,Lundries/Dry Cleaners,,60,,,,,,,-99
5300,Liquified Petroleum Gas Station,,,,,,,,,-99
5301,       Category 'A' Filling Station,,130,,,,,,,-99
5302,       Category 'B' Door-to-Door,,40,,,,,,,-99
5401,Lotto Sellers (National Lottery),,10,,,,,,,-99
5501,Lotto Agents (National Lottery),,20,,,,,,,-99
5600,Mobile Van Sales,,30,,,,,,,-99
5601,Mobile Promotion/Sales,,20,,,,,,,-99
5701,Medical Laboratory,,100,,,,,,,-99
5801,Maternity Home,,30,,,,,,,-99
5901,Machine Shop,,50,,,,,,,-99
6000,Mineral Mining/Marketing Firms,,,,,,,,,-99
6001,Category 'A' (Goldfields Gh.Ltd. Tarkwa),,60000,,,,,,,-99
6002, Category 'B' (Anglogold  Ashanti&  GMC Nsuta),,30000,,,,,,,-99
6003,Category 'C'Golden Star Benso,,15000,,,,,,,-99
6004,Category 'D' (Small Scale Mining  -  Manual  ,,200,,,,,,,-99
6101,Metal Scrap Dealers,,50,,,,,,,-99
6201,Mineral Water Manufacturing,,350,,,,,,,-99
6301,Metal Aluminium Fabricatiors (Door/Windows),,60,,,,,,,-99
6400,MOBILE PHONE DEALERS,,,,,,,,,-99
6401,Category 'A'  Mobile phone sales and repairs,,60,,,,,,,-99
6402,Category 'B'  Mobile phone sales only,,40,,,,,,,-99
6403,Category 'C'  Mobile phone repairs only,,50,,,,,,,-99
6500,Night Club,,,,,,,,,-99
6501,Category 'A' (eg. Nawas& 1106),,40,,,,,,,-99
6502,Category 'B' (Others),,20,,,,,,,-99
6503,Night Club/Restaurant (eg. Shandys&Papilion&Mamamia),,40,,,,,,,-99
6600,Private Communication/Secretarial Services,,,,,,,,,-99
6601,Category 'A' (All Services including Internet-Sametro),,40,,,,,,,-99
6602,Category 'B' (Telephone & Secretarial Services),,30,,,,,,,-99
6603,Category 'C' ( Secretarial Services or Comm Centre),,20,,,,,,,-99
6604,Photocopying,,15,,,,,,,-99
6700,Private News/Media Firms,,,,,,,,,-99
6701,Radio,,300,,,,,,,-99
6702,Print Media,,100,,,,,,,-99
6703,News paper Vendors ,,15,,,,,,,-99
6800,Postal Service,,,,,,,,,-99
6801,Category 'A' (eg. Ghana post Main Branch& Tarkwa),,150,,,,,,,-99
6802,Category 'B' (eg. Branches outside Tarkwa),,25,,,,,,,-99
6900,Petroleum Products/Retail Outlets,,,,,,,,,-99
6901,Category 'A' (oil Companies Bulk Distribution (eg.Shell,,2000,,,,,,,-99
6902,Category 'B' (Shell /Total Station&Tarkwa),,600,,,,,,,-99
6903,Category 'C' (Filling Station/Surface Tanks),,150,,,,,,,-99
6904,Category 'D' (Kerosine),,20,,,,,,,-99
7000,Printing Press,,,,,,,,,-99
7001,Category 'A' ,,80,,,,,,,-99
7002,Category 'B' ,,50,,,,,,,-99
7100,Photographic Studio,,20,,,,,,,-99
7101,Freelance Photographer,,10,,,,,,,-99
7201,Photo Laboratory,,50,,,,,,,-99
7300,Professional Services,,,,,,,,,-99
7301,i  Legal Firms,,125,,,,,,,-99
7302,ii  Accountancy Firms,,125,,,,,,,-99
7303,iii  Engineering/Architectural,,125,,,,,,,-99
7304,iv  Auctioneering,,80,,,,,,,-99
7305,v  Consultancy,,125,,,,,,,-99
7306,vi  Surveyors (Doe& Okyere& Abu etc),,125,,,,,,,-99
7307,vii  Recruiting Agencies,,125,,,,,,,-99
7400,Private Hospital/Clinic,,,,,,,,,-99
7401,Category 'A' (Hospitals- ABA),,370,,,,,,,-99
7402,Category 'B' (others),,150,,,,,,,-99
7500,Processing of Mineral/mining Documents,,,,,,,,,-99
7501,Precious /other related Minerals,,50,,,,,,,-99
7502,Non-Precious Minerals/others(sand&stone&etc),,20,,,,,,,-99
7600,Poultry,,,,,,,,,-99
7601,Category 'A' ,,30,,,,,,,-99
7602,Category 'B',,15,,,,,,,-99
7700,Private Schools,,,,,,,,,-99
7701,Category 'A'  (Golden Age&  etc),,150,,,,,,,-99
7702,Category 'B' ,,100,,,,,,,-99
7703,Category 'C' (Pre-School - ECDC),,30,,,,,,,-99
7704,Private SSS/Voc/Tech Schools,,50,,,,,,,-99
7800,Palm Oil/kernel Processing   ,,,,,,,,,-99
7801,Category 'A' (Large Scale,,150,,,,,,,-99
7802,Category 'B' (Medium Scale),,10,,,,,,,-99
7900,Quarry,,,,,,,,,-99
7901,Category 'A' (Industrial Eg. Boss Kudos),,400,,,,,,,-99
7902,Category 'B' (Manual),,25,,,,,,,-99
8001,Real Estate Developers,,300,,,,,,,-99
8100,Renting of Property as Business,,,,,,,,,-99
8101,Canopies& Tent& Chairs& Mattress& etc,,30,,,,,,,-99
8201,Rubber/Cane Weavers,,15,,,,,,,-99
8300,Record Studio/Sellers,,,,,,,,,-99
8301,Record Studio(CD& Audio & Video Cassettes),,20,,,,,,,-99
8302,Category 'B' (Wayside - CD& Audio & Video Cassettes),,15,,,,,,,-99
8401,Newspaper Vendor,,15,,,,,,,-99
8501,Rubber Stamps Making Shops,,15,,,,,,,-99
8601,Spinning/Musical Band/Brass Band,,20,,,,,,,-99
8701,Sand/Stone Dealers,,50,,,,,,,-99
8800,Spare parts Sales Outlets,,,,,,,,,-99
8801,Category 'A' (Stores),,30,,,,,,,-99
8802,Category 'B' (Table Top/Kiosk),,15,,,,,,,-99
8900,Second Hand Clothing/Shoe Wholesalers,,,,,,,,,-99
8901,Category 'A' (Kiosk/ Stores),,30,,,,,,,-99
8902,Category 'B' (Table Top),,10,,,,,,,-99
8903,wholesale,,40,,,,,,,-99
9001,Snack Bar,,20,,,,,,,-99
9101,Small Scale Mining /Stone Crusher,,25,,,,,,,-99
9201,Timber Concession Operators,,300,,,,,,,-99
9300,Timber Processing/Sales Outlets Sawnmills,,,,,,,,,-99
9301,Category 'A' (Large Scale-Abuga),,50,,,,,,,-99
9302,Category 'B' (Small Scale),,30,,,,,,,-99
9303,Sawn Timber Sellers,,20,,,,,,,-99
9400,Telecom Service,,,,,,,,,-99
9401,Category 'A' Main Service Providers(eg. Vodafone& MTN),,4000,,,,,,,-99
9402,Category 'B' Telecom service agents,,600,,,,,,,-99
9403,Category 'C' Phone Operators and card dealers,,10,,,,,,,-99
9404,Category 'D' Phone  card dealers  only,,10,,,,,,,-99
9500,Traditional Medical Practitioners,,,,,,,,,-99
9501,Category 'A' (Large eg. Hans& Advance& etc    ,,20,,,,,,,-99
9502,Category 'B' (Small)     ,,15,,,,,,,-99
9503,Category 'C' (Pedlers),,15,,,,,,,-99
9600,Tailoring/Dressmaking Shop,,,,,,,,,-99
9601,Category 'A' (Industrial) Gagarin,,100,,,,,,,-99
9602,Category 'B' ,,50,,,,,,,-99
9603,Category 'C' (General),,15,,,,,,,-99
9700,Tyres Dealers,,,,,,,,,-99
9701,Category 'A' (eg. Konadu Tyre Centre& ABC),,70,,,,,,,-99
9702,Category 'A' (Home Use),,25,,,,,,,-99
9703,Category 'B' (Home Use),,20,,,,,,,-99
9800,Utility Services,,1500,,,,,,,-99
9801,Water / Electricity Company,,1500,,,,,,,-99
9901,Video House,,20,,,,,,,-99
10001,Video Rentals/Libraries,,20,,,,,,,-99
10101,Video camera operators,,20,,,,,,,-99
10201,Others,,20,,,,,,,-99
