Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
3703,Forex Bureaux,,1000,,,,,,,-99
3801,Susu Operators,,50,,,,,,,-99
3900,Money lender,,150,,,,,,,-99
3901,Micro Finance Company,,1500,,,,,,,-99
4000,Restaurants,,,,,,,,,-99
4001,Category'A' ( eg.Sag Foods/Trinity& Cabanna),,200,,,,,,,-99
4002,Category'B' ),,100,,,,,,,-99
4003,Category'C' (Wayside),,50,,,,,,,-99
4100,Gold Dealers,,,,,,,,,-99
4101,Agent,,700,,,,,,,-99
4102,Buyers,,400,,,,,,,-99
4201,Goldsmiths,,50,,,,,,,-99
4202,Gold Millers,,1500,,,,,,,-99
4300,General Electric/Electronic Shop,,,,,,,,,-99
4301,Category 'A' (SS Elect),,150,,,,,,,-99
4302,Category 'B',,70,,,,,,,-99
4303,Category 'C' (Rewinding),,50,,,,,,,-99
4304,         Category 'A'  - (eg.& Owusu Home Stores),,200,,,,,,,-99
4305,         Category 'B' ( Second Hand Shop),,150,,,,,,,-99
,         Category 'B' ( Second Hand ),,20,,,,,,,-99
4306,Radio/Electonic repairers ,,20,,,,,,,-99
4400,Hair Dressing/Babering Salons,,,,,,,,,-99
4401,Category 'A' ,,100,,,,,,,-99
4402,Category 'B' ,,50,,,,,,,-99
4403,Category 'C' ,,20,,,,,,,-99
4500,Hotels,,,,,,,,,-99
4501,Category 'A' (3 Star Hilda),,1600,,,,,,,-99
4502,Category 'B' (2 Star eg.  Lynka& Tamso Lodge),,1100,,,,,,,-99
4503,Category 'C' ( eg Peace& Adom& etc.),,350,,,,,,,-99
4504,Category 'D' (Guest Houses),,200,,,,,,,-99
4505,Hostel Operators  Cat A,,200,,,,,,,-99
4506,Hostel Operators  Cat B,,150,,,,,,,-99
4507,Hostel Operators  Cat C,,100,,,,,,,-99
4601,Ice Cream/Lolly Distributor (eg. Fan Ice),,100,,,,,,,-99
4701,Importers (General Merchant),,30,,,,,,,-99
4800,Industrial/Service Companies,,,,,,,,,-99
4801,"Category ""a"" (eg. AMS& Moolmans etc.)",,10000,,,,,,,-99
4802,Category 'B' (Drilling Explosive Cos:St Lambert T & E),,6500,,,,,,,-99
4803,Category 'C' (Atlas Corpco&Liebher&G5&Barbex&Banlaw),,5000,,,,,,,-99
4804,Category 'D' (eg.Antrak&Liner& Crown Resources&etc),,4000,,,,,,,-99
4805,Category 'E' (Indegenous Mining Service),,1300,,,,,,,-99
4806,Category F (Steel Dealers),,1300,,,,,,,-99
4900,Industrial Laboratory,,,,,,,,,-99
4901,Category 'A' (Large Scale eg. SGS),,2000,,,,,,,-99
4902,Category 'B' (Medium Scale eg. Baysfield& Transworld),,1500,,,,,,,-99
5000,Internet Services,,,,,,,,,-99
5001,Category 'A'  5 or Less Machines,,30,,,,,,,-99
5002,Category 'B'  6 - 10 Machines,,40,,,,,,,-99
5003,Category 'C'  Above 10 Machines,,50,,,,,,,-99
5101,Key Cutters,,50,,,,,,,-99
5201,Lundries/Dry Cleaners,,80,,,,,,,-99
5300,Liquified Petroleum Gas Station,,,,,,,,,-99
5301,       Category 'A' Filling Station,,350,,,,,,,-99
5302,       Category 'B' Door-to-Door,,50,,,,,,,-99
5401,Lotto Sellers (National Lottery),,400,,,,,,,-99
5501,Lotto Agents (National Lottery),,300,,,,,,,-99
5600,Mobile Van Sales,,30,,,,,,,-99
5601,Mobile Promotion/Sales,,30,,,,,,,-99
5701,Medical Laboratory,,120,,,,,,,-99
5801,Maternity Home,,30,,,,,,,-99
5901,Machine Shop,,100,,,,,,,-99
6000,Mineral Mining/Marketing Firms,,,,,,,,,-99
6001,Category 'A' (Goldfields Gh.Ltd. Tarkwa),,60000,,,,,,,-99
6002, Category 'B' (Anglogold  Ashanti&  GMC Nsuta),,40000,,,,,,,-99
6003,Category 'C'Golden Star Benso,,25000,,,,,,,-99
6004,Category 'D' (Small Scale Mining  -  Manual  ,,300,,,,,,,-99
6101,Metal Scrap Dealers,,50,,,,,,,-99
6201,Mineral Water Manufacturing,,400,,,,,,,-99
6301,Metal Aluminium Fabricatiors (Door/Windows),,60,,,,,,,-99
6400,MOBILE PHONE DEALERS,,,,,,,,,-99
6401,Category 'A'  Mobile phone sales and repairs,,200,,,,,,,-99
